gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,State of the Art,1,1,[0.005407094955444336],3,"[(9.0, 9.0)]","[(9.0, 9.0)]",1e-07
cooperative,State of the Art,2,1,[0.01165008544921875],5,"[(18.0, 18.0)]","[(18.0, 18.0)]",1e-07
cooperative,State of the Art,3,1,[0.026830196380615234],7,"[(27.0, 27.0)]","[(27.0, 27.0)]",1e-07
cooperative,State of the Art,4,1,[0.05554509162902832],9,"[(36.0, 36.0)]","[(36.0, 36.0)]",1e-07
cooperative,State of the Art,5,1,[0.09892892837524414],11,"[(45.0, 45.0)]","[(45.0, 45.0)]",1e-07
cooperative,Stackelberg,1,1,[0.0317840576171875],3,"[(9.0, 9.0)]","[(9.0, 9.0)]",1e-07
cooperative,Stackelberg,2,1,[0.13390183448791504],5,"[(18.0, 18.0)]","[(18.0, 18.0)]",1e-07
cooperative,Stackelberg,3,1,[0.2728760242462158],7,"[(27.0, 27.0)]","[(27.0, 27.0)]",1e-07
cooperative,Stackelberg,4,1,[0.5108420848846436],9,"[(36.0, 36.0)]","[(36.0, 36.0)]",1e-07
cooperative,Stackelberg,5,1,[0.8212811946868896],11,"[(45.0, 45.0)]","[(45.0, 45.0)]",1e-07
zerosum,State of the Art,1,1,[0.09093499183654785],3,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,2,1,[0.17731809616088867],5,"[(-150.0, 150.0)]","[(-150.0, 150.0)]",1e-07
zerosum,State of the Art,3,1,[0.39778804779052734],7,"[(-225.0, 225.0)]","[(-225.0, 225.0)]",1e-07
zerosum,State of the Art,4,1,[0.719940185546875],9,"[(-300.0, 300.0)]","[(-300.0, 300.0)]",1e-07
zerosum,State of the Art,5,1,[1.10978102684021],11,"[(-375.0, 375.0)]","[(-375.0, 375.0)]",1e-07
zerosum,Stackelberg,1,1,[0.03726315498352051],3,"[(-74.99999999999999, 74.99999999999999)]","[(-74.99999999999999, 74.99999999999999)]",1e-07
zerosum,Stackelberg,2,1,[0.15769410133361816],5,"[(-150.0, 150.0)]","[(-150.0, 150.0)]",1e-07
zerosum,Stackelberg,3,1,[0.33222317695617676],7,"[(-225.0, 225.0)]","[(-225.0, 225.0)]",1e-07
zerosum,Stackelberg,4,1,[0.6098530292510986],9,"[(-300.0, 300.0)]","[(-300.0, 300.0)]",1e-07
zerosum,Stackelberg,5,1,[0.8697621822357178],11,"[(-375.0, 375.0)]","[(-375.0, 375.0)]",1e-07
stackelberg,State of the Art,1,1,[0.061431169509887695],3,"[(3.499999999999999, -13.499999999999998)]","[(3.499999999999999, -13.499999999999998)]",1e-07
stackelberg,State of the Art,2,1,[0.1993119716644287],5,"[(7.736484374999999, -13.499999999999998)]","[(7.736484374999999, -13.499999999999998)]",1e-07
stackelberg,State of the Art,3,1,[0.3098621368408203],7,"[(11.681666271972656, -13.499999999999998)]","[(11.681666271972656, -13.499999999999998)]",1e-07
stackelberg,State of the Art,4,1,[0.532006025314331],9,"[(15.682986080327986, -13.499999999999998)]","[(15.680479791042327, -13.499999999999998)]",1e-07
stackelberg,State of the Art,5,1,[0.8700087070465088],11,"[(19.66735429360573, -13.499999999999998)]","[(19.66154957346346, -13.499999999999998)]",1e-07
stackelberg,Stackelberg,1,1,[0.03152894973754883],3,"[(3.499999999999999, -13.499999999999998)]","[(3.499999999999999, -13.499999999999998)]",1e-07
stackelberg,Stackelberg,2,1,[0.14426493644714355],5,"[(7.736484375, -18.589609375)]","[(7.736484375, -18.589609375)]",1e-07
stackelberg,Stackelberg,3,1,[0.3500199317932129],7,"[(11.867061328125002, -25.745389453124996)]","[(11.867061328125002, -25.745389453124996)]",1e-07
stackelberg,Stackelberg,4,1,[0.5542349815368652],9,"[(16.02358559960938, -32.39495770898438)]","[(16.02358559960938, -32.39495770898438)]",1e-07
stackelberg,Stackelberg,5,1,[0.8614568710327148],11,"[(20.173752778095707, -39.168547861298826)]","[(20.173752778095707, -39.168547861298826)]",1e-07
