gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,State of the Art,1,1,[0.008548259735107422],3,"[(9.0, 9.0)]","[(9.0, 9.0)]",1e-07
cooperative,State of the Art,2,1,[0.022753000259399414],5,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,State of the Art,3,1,[0.05148196220397949],7,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,1,1,[0.040863037109375],3,"[(9.0, 9.0)]","[(9.0, 9.0)]",1e-07
cooperative,Stackelberg,2,1,[0.16561007499694824],5,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
cooperative,Stackelberg,3,1,[0.3981790542602539],7,"[(11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001)]",1e-07
zerosum,State of the Art,1,1,[0.06429529190063477],3,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,2,1,[0.29984378814697266],5,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,State of the Art,3,1,[0.5355253219604492],7,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,1,1,[0.05173206329345703],3,"[(-74.99999999999999, 74.99999999999999)]","[(-74.99999999999999, 74.99999999999999)]",1e-07
zerosum,Stackelberg,2,1,[0.1985948085784912],5,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
zerosum,Stackelberg,3,1,[0.45457887649536133],7,"[(-75.0, 75.0)]","[(-75.0, 75.0)]",1e-07
stackelberg,State of the Art,1,1,[0.03875088691711426],3,"[(3.499999999999999, -13.499999999999998)]","[(3.499999999999999, -13.499999999999998)]",1e-07
stackelberg,State of the Art,2,1,[0.18352913856506348],5,"[(6.241484374999999, -13.499999999999998)]","[(6.241484374999999, -13.499999999999998)]",1e-07
stackelberg,State of the Art,3,1,[0.41431093215942383],7,"[(5.366260021972655, -13.499999999999998)]","[(5.366260021972655, -13.499999999999998)]",1e-07
stackelberg,Stackelberg,1,1,[0.04143691062927246],3,"[(3.499999999999999, -13.499999999999998)]","[(3.499999999999999, -13.499999999999998)]",1e-07
stackelberg,Stackelberg,2,1,[0.17101407051086426],5,"[(6.241484375000001, -9.289609375)]","[(6.241484375000001, -9.289609375)]",1e-07
stackelberg,Stackelberg,3,1,[0.39542508125305176],7,"[(5.5203625, -16.6259)]","[(5.5203625, -16.6259)]",1e-07
